ID,cap,uncap,dhh1_1,Assigned_gene_name
668,8,4,0.6666666666666666,YCR019W
669,68,435,0.13518886679920478,YCR020W-B
682,1,4,0.2,YCR032W
683,68,94,0.41975308641975306,YCR032W
684,279,503,0.3567774936061381,YCR033W
685,1811,296,0.8595158993830091,YCR034W
686,306,412,0.4261838440111421,YCR036W
691,10,14,0.4166666666666667,YCR045W-A
692,13,15,0.4642857142857143,YCR045W-A
695,1,1,0.5,YCR047W-A
696,271,396,0.4062968515742129,YCR048W
699,1360,718,0.6544754571703562,YCR051W
700,313,292,0.5173553719008265,YCR052W
702,494,2719,0.1537503890445067,YCR053W
705,9,14,0.39130434782608703,YCR060W
706,577,651,0.4698697068403909,YCR060W
707,497,234,0.6798905608755129,YCR061W
713,92,75,0.5508982035928144,YCR063W
714,144,195,0.4247787610619469,YCR065W
715,66,104,0.3882352941176471,YCR065W
717,178,41,0.8127853881278538,YCR066W
718,7,1,0.875,YCR068W
719,16,13,0.5517241379310345,YCR068W
720,123,202,0.3784615384615385,YCR068W
721,353,498,0.4148061104582844,YCR069W
723,850,253,0.7706255666364461,YCR073W-A
726,0,6,0.0,YCR075W-A
727,774,155,0.8331539289558665,YCR075W-A
728,1,0,1.0,YCR079W
729,142,141,0.5017667844522968,YCR079W
731,116,80,0.5918367346938775,YCR081W
732,775,620,0.5555555555555556,YCR082W
733,259,233,0.5264227642276422,YCR083W
734,1,2,0.3333333333333333,YCR085W
735,12,4,0.75,YCR086W
736,54,223,0.19494584837545129,YCR086W
737,1,1,0.5,YCR087W
738,15,7,0.6818181818181818,YCR088W
739,126,994,0.1125,YCR088W
741,40,53,0.4301075268817205,YCR089W
742,4,4,0.5,YCR089W
743,15,1,0.9375,YCR089W
745,74,81,0.4774193548387097,YCR091W
747,554,2817,0.1643429249480866,YCR093W
750,534,313,0.6304604486422668,YCR094W
751,15,24,0.38461538461538464,YCR095W-A
754,104,499,0.1724709784411277,YCR097W
755,12,2,0.8571428571428571,YCR097W-A
767,2,1,0.6666666666666666,YCR102W-A
769,11,7,0.6111111111111112,YCR106W
770,114,152,0.42857142857142855,YCR106W
771,1,3,0.25,YCR107W
782,16,23,0.41025641025641024,YDL241W
783,4,2,0.6666666666666666,YDL241W
784,87,85,0.5058139534883721,YDL241W
785,11,4,0.7333333333333333,YDL240W
786,178,104,0.6312056737588653,YDL240W
787,5,3,0.625,YDL237W
788,91,292,0.23759791122715404,YDL237W
790,474,471,0.5015873015873016,YDL236W
793,93,200,0.3174061433447099,YDL233W
794,466,325,0.5891276864728192,YDL232W
795,0,8,0.0,YDL230W
796,150,267,0.3597122302158273,YDL230W
797,7727,6597,0.5394442893046635,YDL229W
806,326,209,0.6093457943925233,YDL225W
809,5,10,0.3333333333333333,YDL221W
810,319,494,0.3923739237392374,YDL219W
811,16,8,0.6666666666666666,YDL218W
818,5624,4960,0.5313681027966742,YDL212W
822,18,15,0.5454545454545454,YDL210W
826,3493,6365,0.3543315074051532,YDL208W
827,286,213,0.5731462925851704,YDL207W
828,28,22,0.56,YDL206W
829,84,54,0.6086956521739131,YDL204W
830,476,858,0.3568215892053973,YDL204W
831,432,287,0.6008344923504868,YDL202W
832,315,296,0.5155482815057283,YDL201W
835,3,17,0.15,YDL196W
836,1080,987,0.5224963715529753,YDL195W
839,102,112,0.4766355140186916,YDL194W
840,204,872,0.1895910780669145,YDL193W
841,44,30,0.5945945945945946,YDL193W
842,7706,8580,0.4731671374186418,YDL192W
845,16110,46968,0.2553980785693903,YDL191W
