ID,cap,uncap,xrn1_1,Assigned_gene_name
8402,90,7,0.9278350515463918,YDR322C-A
8403,56,69,0.44799999999999995,YDR323C
8404,328,264,0.5540540540540541,YDR324C
8405,306,236,0.5645756457564576,YDR326C
8407,1463,673,0.6849250936329588,YDR328C
8409,151,120,0.5571955719557196,YDR329C
8412,496,263,0.6534914361001317,YDR333C
8416,137,128,0.5169811320754717,YDR338C
8417,19,21,0.475,YDR338C
8418,1405,1131,0.5540220820189274,YDR339C
8419,2188,875,0.7143323539014038,YDR341C
8420,70,130,0.35,YDR342C
8421,45,35,0.5625,YDR342C
8423,116,31,0.7891156462585034,YDR344C
8426,288,191,0.6012526096033403,YDR345C
8429,1162,468,0.7128834355828221,YDR346C
8431,353,129,0.7323651452282157,YDR348C
8432,8,9,0.4705882352941176,YDR349C
8433,975,816,0.5443886097152428,YDR349C
8434,6,15,0.2857142857142857,YDR349C
8436,682,204,0.7697516930022573,YDR350C
8440,283,250,0.5309568480300187,YDR357C
8442,213,72,0.7473684210526316,YDR359C
8443,510,458,0.5268595041322314,YDR361C
8444,148,71,0.6757990867579908,YDR362C
8446,369,272,0.5756630265210608,YDR364C
8447,466,319,0.5936305732484076,YDR365C
8448,13,7,0.65,YDR365C
8450,102,69,0.5964912280701754,YDR369C
8451,329,164,0.6673427991886409,YDR370C
8452,26,5,0.8387096774193549,YDR372C
8453,1035,1004,0.5076017655713585,YDR372C
8456,672,88,0.8842105263157894,YDR375C
8457,1141,803,0.5869341563786008,YDR378C
8458,8,6,0.5714285714285714,YDR378C
8459,23,9,0.71875,YDR378C
8460,105,70,0.6,YDR379C-A
8461,434,88,0.8314176245210728,YDR379C-A
8464,669,78,0.8955823293172691,YDR381C-A
8465,29,13,0.6904761904761905,YDR381C-A
8466,197,25,0.8873873873873874,YDR383C
8468,145,487,0.22943037974683544,YDR384C
8469,35,24,0.5932203389830508,YDR384C
8472,208,40,0.8387096774193549,YDR387C
8475,135,256,0.3452685421994885,YDR390C
8476,1050,321,0.7658643326039387,YDR391C
8477,150,42,0.78125,YDR391C
8480,1469,950,0.6072757337742869,YDR397C
8481,9,3,0.75,YDR397C
8486,2612,2206,0.5421336654213367,YDR404C
8489,564,250,0.6928746928746928,YDR407C
8490,2237,634,0.7791710205503309,YDR408C
8491,18,8,0.6923076923076923,YDR408C
8493,560,643,0.4655029093931837,YDR410C
8494,123,432,0.22162162162162166,YDR411C
8495,354,269,0.5682182985553772,YDR414C
8496,21,26,0.44680851063829785,YDR415C
8503,491,424,0.5366120218579234,YDR422C
8504,165,170,0.4925373134328358,YDR423C
8505,366,246,0.5980392156862745,YDR424C
8508,248,188,0.5688073394495413,YDR428C
8509,1599,621,0.7202702702702702,YDR429C
8511,460,140,0.7666666666666667,YDR430C
8512,586,325,0.6432491767288694,YDR435C
8513,11,7,0.6111111111111112,YDR435C
8523,2249,218,0.9116335630320228,YDR441C
8524,192,67,0.7413127413127413,YDR443C
8525,81,27,0.75,YDR445C
8527,24088,6181,0.7957976807955334,YDR447C
8528,736,539,0.5772549019607843,YDR449C
8530,490,114,0.8112582781456954,YDR451C
8533,60,17,0.7792207792207793,YDR453C
8534,3397,3271,0.5094481103779244,YDR454C
8536,379,207,0.6467576791808873,YDR458C
8537,310,149,0.6753812636165577,YDR459C
8538,63,33,0.65625,YDR461C-A
8539,357,278,0.5622047244094488,YDR465C
8540,34,19,0.6415094339622641,YDR465C
8541,416,399,0.5104294478527608,YDR468C
8542,350,185,0.6542056074766355,YDR470C
8545,106,64,0.6235294117647059,YDR473C
8547,97,48,0.6689655172413793,YDR475C
8549,734,373,0.6630532971996387,YDR476C
8550,8,3,0.7272727272727273,YDR476C
8553,136,113,0.5461847389558233,YDR479C
8554,28,37,0.4307692307692308,YDR479C
8557,488,246,0.6648501362397821,YDR481C
8558,58,12,0.8285714285714286,YDR481C
8559,170,123,0.5802047781569966,YDR482C
8560,177,79,0.69140625,YDR485C
8561,327,466,0.4123581336696091,YDR486C
8562,3691,2169,0.6298634812286689,YDR487C
8563,96,49,0.6620689655172414,YDR488C
8566,325,101,0.7629107981220657,YDR490C
8568,32,28,0.5333333333333333,YDR495C
8569,312,216,0.5909090909090909,YDR496C
8573,10825,4099,0.7253417314392924,YDR497C
8575,79,153,0.34051724137931033,YDR498C
8577,2799,2793,0.5005364806866953,YDR500C
8581,495,445,0.526595744680851,YDR502C
8582,183,272,0.4021978021978022,YDR503C
8583,14,3,0.8235294117647058,YDR503C
8585,468,306,0.6046511627906976,YDR505C
8586,67,20,0.7701149425287356,YDR506C
8588,414,252,0.6216216216216216,YDR507C
8591,696,756,0.4793388429752066,YDR508C
8592,9,2,0.8181818181818182,YDR508C
8593,4,6,0.4,YDR510C-A
8594,7,1,0.875,YDR510C-A
8596,137,84,0.6199095022624435,YDR514C
8599,563,712,0.4415686274509804,YDR516C
8600,11,14,0.44,YDR516C
8603,25,42,0.373134328358209,YDR520C
8604,1417,321,0.8153049482163406,YDR524C
8605,45915,38301,0.5452051866628669,YDR524C-B
8606,1,1,0.5,YDR524C-A
8612,4363,3360,0.5649359057361129,YDR529C
8613,223,62,0.7824561403508772,YDR530C
8614,126,60,0.6774193548387096,YDR530C
8615,394,169,0.6998223801065719,YDR532C
8616,20,21,0.4878048780487805,YDR532C
8618,108,115,0.4843049327354261,YDR533C
8619,53,28,0.654320987654321,YDR533C
8620,1,0,1.0,YDR534C
8629,75,43,0.6355932203389829,YDR540C
8630,37,11,0.7708333333333334,YDR540C
8631,336,296,0.5316455696202531,YDR541C
8636,66,13,0.8354430379746836,YIL166C
8637,107,35,0.7535211267605634,YIL164C
8638,570,93,0.8597285067873304,YIL164C
8640,14,15,0.4827586206896552,YIL163C
8643,3,1,0.75,YIL160C
8644,1620,251,0.865847140566542,YIL157C
8645,104,38,0.7323943661971831,YIL155C
8647,231,104,0.6895522388059702,YIL154C
8648,2,2,0.5,YIL154C
8649,77,107,0.4184782608695653,YIL151C
8650,56,29,0.6588235294117647,YIL150C
8651,231,25,0.90234375,YIL149C
8653,165,41,0.8009708737864077,YIL147C
8654,3,5,0.375,YIL146C
8655,3,5,0.375,YIL146C
8656,54,50,0.5192307692307693,YIL146C
8658,2085,1948,0.5169848747830399,YIL145C
8659,184,77,0.7049808429118773,YIL143C
8664,217,173,0.5564102564102564,YIL139C
8666,516,891,0.36673773987206826,YIL138C
8669,902,224,0.8010657193605684,YIL137C
8670,21,4,0.84,YIL137C
8671,25,23,0.5208333333333334,YIL137C
8673,558,62,0.9,YIL135C
