ID,cap,uncap,dcp2_1,Assigned_gene_name
456,71,105,0.4034090909090909,YBR201W
458,196,145,0.5747800586510264,YBR202W
460,64,15,0.810126582278481,YBR203W
461,34,23,0.5964912280701754,YBR203W
464,967,222,0.8132884777123633,YBR205W
465,427,691,0.3819320214669052,YBR207W
468,146,130,0.5289855072463768,YBR210W
469,1100,494,0.6900878293601004,YBR210W
471,330,172,0.6573705179282868,YBR212W
472,49,19,0.7205882352941176,YBR213W
473,702,197,0.7808676307007787,YBR214W
474,184,54,0.773109243697479,YBR215W
476,642,61,0.9132290184921764,YBR217W
478,181,70,0.7211155378486056,YBR225W
479,84,23,0.7850467289719626,YBR228W
480,123,130,0.4861660079051384,YBR228W
482,44,504,0.08029197080291971,YBR230W-A
483,62,32,0.6595744680851063,YBR233W
484,363,577,0.3861702127659574,YBR233W-A
485,628,223,0.7379553466509988,YBR235W
486,51,267,0.16037735849056606,YBR237W
489,20,10,0.6666666666666666,YBR242W
490,2,3,0.4,YBR242W
491,383,426,0.4734239802224969,YBR242W
492,43,8,0.8431372549019608,YBR242W
493,103,250,0.29178470254957506,YBR244W
494,223,133,0.6264044943820225,YBR244W
495,235,309,0.4319852941176471,YBR246W
497,39,47,0.4534883720930232,YBR250W
499,331,198,0.6257088846880907,YBR251W
500,4047,743,0.8448851774530272,YBR252W
501,11,19,0.36666666666666653,YBR253W
502,897,371,0.7074132492113565,YBR253W
503,104,228,0.3132530120481928,YBR255W
506,16,10,0.6153846153846154,YBR257W
507,183,95,0.6582733812949639,YBR257W
508,47,65,0.4196428571428572,YBR259W
509,241,154,0.6101265822784809,YBR263W
510,445,394,0.5303933253873659,YBR265W
511,158,155,0.5047923322683706,YBR267W
513,608,843,0.4190213645761544,YBR268W
516,41,25,0.6212121212121212,YBR271W
517,40,103,0.2797202797202797,YBR271W
518,264,82,0.7630057803468208,YBR274W
519,207,216,0.4893617021276596,YBR278W
522,303,186,0.6196319018404908,YBR279W
525,11,3,0.7857142857142857,YBR282W
526,185,512,0.2654232424677188,YBR282W
528,140,92,0.603448275862069,YBR284W
531,15,10,0.6,YBR285W
532,123,216,0.3628318584070797,YBR286W
535,2017,880,0.6962374870555748,YBR287W
540,54,19,0.7397260273972602,YBR289W
542,688,466,0.5961871750433275,YBR290W
546,211,143,0.5960451977401129,YBR293W
547,15,8,0.6521739130434783,YBR293W
548,26,10,0.7222222222222222,YBR293W
552,36,31,0.5373134328358209,YBR295W
553,99,134,0.4248927038626609,YBR295W
556,31,12,0.7209302325581395,YBR297W
557,795,354,0.6919060052219321,YBR297W
559,13,3,0.8125,YBR299W
560,16,6,0.7272727272727273,YBR299W
565,237,301,0.4405204460966543,YCL063W
566,1487,151,0.9078144078144078,YCL058W-A
567,25,34,0.42372881355932196,YCL057W
568,4,26,0.13333333333333333,YCL057W
569,873,1346,0.3934204596665165,YCL057W
570,260,206,0.5579399141630901,YCL055W
578,738,244,0.7515274949083504,YCL054W
579,554,393,0.5850052798310454,YCL051W
583,168,67,0.7148936170212766,YCL048W-A
584,78,9,0.8965517241379308,YCL048W-A
585,471,212,0.6896046852122987,YCL048W-A
593,146,112,0.5658914728682171,YCL042W
594,2677,1619,0.6231378026070763,YCL040W
598,1010,190,0.8416666666666667,YCL039W
602,228,348,0.3958333333333333,YCL036W
603,24,38,0.3870967741935484,YCL034W
604,86,55,0.6099290780141844,YCL034W
605,603,437,0.5798076923076924,YCL034W
606,837,357,0.7010050251256281,YCL032W
610,1124,324,0.7762430939226519,YCL028W
612,56,75,0.4274809160305344,YCL027W
615,655,205,0.7616279069767442,YCL024W
616,7,7,0.5,YCL021W-A
617,0,1,0.0,YCL021W-A
619,397,119,0.7693798449612403,YCL019W
