ID,wt_a,pat_a,m/w,log
12103,0.6703690369036903,0.5285463659147871,0.79,-0.3400754415976217
12104,0.750860665385068,0.4967145217276177,0.66,-0.5994620704162712
12105,0.8021378672523989,0.6860517317881659,0.86,-0.2175914350726268
12109,0.7483231262758822,0.5069191210846189,0.68,-0.5563933485243852
12110,0.7098154477101846,0.6641711369199521,0.94,-0.08926733809708741
12112,0.6021074444791993,0.4298888262718377,0.71,-0.49410907027004275
12113,0.6296666521795821,0.3957138957138957,0.63,-0.6665762662748083
12116,0.8769018541810363,0.6716141833831523,0.77,-0.3770696490798233
12119,0.6386926378342688,0.4854347826086957,0.76,-0.3959286763311392
12121,0.7052907407728017,0.4751091358073888,0.67,-0.5777669993169522
12123,0.47816863017819894,0.4585473950028061,0.96,-0.058893689053568565
12126,0.6496146980713136,0.5760128739113972,0.89,-0.16812275880832692
12128,0.6958751793400287,0.5259322851253028,0.76,-0.3959286763311392
12132,0.8207249694958939,0.7305361305361306,0.89,-0.16812275880832692
12133,0.7808726780185758,0.6308931860036833,0.81,-0.3040061868900999
12137,0.7053972308962269,0.5258470122495711,0.75,-0.4150374992788438
12140,0.8168415448365085,0.641118795906624,0.78,-0.3584539709124763
12143,0.6265059523809524,0.5231582614830996,0.84,-0.2515387669959645
12144,0.45857959732833603,0.3374393504558545,0.74,-0.4344028241457749
12146,0.5238358126959164,0.3690705452202846,0.7,-0.5145731728297583
12148,0.380880772349292,0.1653212096234094,0.43,-1.217591435072627
12155,0.7984593161707567,0.6518143705135575,0.82,-0.2863041851566411
12157,0.694501988926021,0.5846546388109134,0.84,-0.2515387669959645
12169,0.9332141805232014,0.8533781468605506,0.91,-0.13606154957602837
12170,0.7937835668868449,0.4820470717022442,0.61,-0.7131188522118385
12171,0.6034946236559139,0.38870001618908856,0.64,-0.6438561897747246
12177,0.8032786885245902,0.772838626341811,0.96,-0.058893689053568565
12178,0.7501788617886178,0.6692845362444042,0.89,-0.16812275880832692
12180,0.7828909744336823,0.612863460207884,0.78,-0.3584539709124763
12181,0.8331550802139038,0.744529649571255,0.89,-0.16812275880832692
12183,0.6607399247000715,0.5079267097785616,0.77,-0.3770696490798233
12184,0.876675082540299,0.7521633508825543,0.86,-0.2175914350726268
12185,0.7963414634146342,0.7492299474761863,0.94,-0.08926733809708741
12186,0.6870447051606472,0.5114400324972073,0.74,-0.4344028241457749
12189,0.8096278721278721,0.6845950787775247,0.85,-0.23446525363702297
12191,0.4914748508098892,0.4827737226277372,0.98,-0.029146345659516508
12192,0.7394327061745716,0.5068536853685368,0.69,-0.5353317329965557
12196,0.8048939216451907,0.597765205566329,0.74,-0.4344028241457749
12198,0.8297207655194538,0.6848296340829545,0.83,-0.2688167584278
12199,0.6769458695711816,0.3738788778306912,0.55,-0.862496476250065
12203,0.8228686050012614,0.7083777389376759,0.86,-0.2175914350726268
12205,0.5930685358255452,0.4367114453080996,0.74,-0.4344028241457749
12207,0.6492878602425727,0.5316948675909565,0.82,-0.2863041851566411
12210,0.8290030272939602,0.7419759851167005,0.9,-0.15200309344504997
12213,0.3541805011883126,0.2299450549450549,0.65,-0.6214883767462702
12216,0.607055108236473,0.3958441336923576,0.65,-0.6214883767462702
12229,0.8367806691449814,0.8507237014977664,1.02,0.02856915219677092
12230,0.7809841839447103,0.5381635907951697,0.69,-0.5353317329965557
12231,0.8363216690471333,0.6373298304275137,0.76,-0.3959286763311392
12236,0.8379823133441858,0.6218023255813953,0.74,-0.4344028241457749
12237,0.6562680304222397,0.5696665108306062,0.87,-0.20091269392599642
12238,0.7100320231157533,0.5829206074296895,0.82,-0.2863041851566411
12240,0.9185584131045772,0.8561223384501113,0.93,-0.10469737866669322
12241,0.6191216216216215,0.30776942355889725,0.5,-1.0
12242,0.6097825449856398,0.461497534943908,0.76,-0.3959286763311392
12243,0.4786667056641277,0.26645783253744965,0.56,-0.8365012677171204
12245,0.7909090909090909,0.6388888888888888,0.81,-0.3040061868900999
12246,0.7978292751526841,0.6586065489705402,0.83,-0.2688167584278
12247,0.8457766699115999,0.7654980854026456,0.91,-0.13606154957602837
12249,0.6842105263157894,0.5441558441558441,0.8,-0.3219280948873623
12250,0.6722817542886207,0.5218750000000001,0.78,-0.3584539709124763
12252,0.6158216492790218,0.4467600910288657,0.73,-0.4540316308947075
12253,0.7848775151596361,0.5357680074306885,0.68,-0.5563933485243852
12256,0.7313484866904363,0.516642703979981,0.71,-0.49410907027004275
12259,0.6436148971503953,0.3752334145039552,0.58,-0.7858751946471527
12266,0.5600933123635126,0.5174020405241857,0.92,-0.12029423371771177
12267,0.4442975497972853,0.3413867460365668,0.77,-0.3770696490798233
12269,0.7566269215608987,0.5379674644726999,0.71,-0.49410907027004275
12270,0.918032786885246,0.8368794326241135,0.91,-0.13606154957602837
12272,0.6299364123159303,0.544588915156291,0.86,-0.2175914350726268
12278,0.7869629585320991,0.6051729666893815,0.77,-0.3770696490798233
12279,0.5106382978723404,0.2606617647058824,0.51,-0.9714308478032291
12280,0.4074880805578128,0.26182254141618105,0.64,-0.6438561897747246
12286,0.8139344262295082,0.6793256278786826,0.83,-0.2688167584278
12287,0.7523776152167374,0.6603752759381898,0.88,-0.18442457113742744
12292,0.6678403755868545,0.5232528524857376,0.78,-0.3584539709124763
12295,0.8274565724656469,0.7083333333333333,0.86,-0.2175914350726268
12297,0.35437166994671915,0.2804615168608925,0.79,-0.3400754415976217
12298,0.7120501449769743,0.5270422616638724,0.74,-0.4344028241457749
12303,0.6482145333727289,0.4349071549627883,0.67,-0.5777669993169522
12311,0.6592708202969233,0.4086197618806314,0.62,-0.6896598793878495
12312,0.568363666413891,0.4024440762220381,0.71,-0.49410907027004275
12314,0.7135229051367119,0.4676153783340386,0.66,-0.5994620704162712
12317,0.7005156353958749,0.5538348082595871,0.79,-0.3400754415976217
12321,0.5044281376518218,0.2783482142857143,0.55,-0.862496476250065
12323,0.8718041817954175,0.7825926203268623,0.9,-0.15200309344504997
12325,0.4915491452991453,0.3154048008259486,0.64,-0.6438561897747246
12327,0.7500951977998731,0.5734218366129235,0.76,-0.3959286763311392
12329,0.4897754707870594,0.3733322807294545,0.76,-0.3959286763311392
12331,0.6450047230948354,0.5576652785611985,0.86,-0.2175914350726268
12332,0.7447523899855188,0.6498671503468332,0.87,-0.20091269392599642
12334,0.6491872875366894,0.44895809537323705,0.69,-0.5353317329965557
12335,0.7053681612505143,0.4560953432486848,0.65,-0.6214883767462702
12336,0.7805427608621962,0.6759788359788361,0.87,-0.20091269392599642
12343,0.7218078673040373,0.5486734142814835,0.76,-0.3959286763311392
12347,0.8397318613215407,0.5794499735899477,0.69,-0.5353317329965557
12349,0.5002231146809459,0.4345622119815668,0.87,-0.20091269392599642
12350,0.5548913970546426,0.4152957820622492,0.75,-0.4150374992788438
12351,0.5774900507005397,0.3683417942810479,0.64,-0.6438561897747246
12352,0.8208917709747148,0.7159908675266509,0.87,-0.20091269392599642
12353,0.5156485262280128,0.3884881501599333,0.75,-0.4150374992788438
12354,0.7317073170731707,0.5669835782195333,0.77,-0.3770696490798233
12356,0.529286398467433,0.24136099585062246,0.46,-1.1202942337177118
12363,0.5521696651169059,0.3344002989164279,0.61,-0.7131188522118385
12364,0.8556717268188063,0.6903568885511797,0.81,-0.3040061868900999
12366,0.863062603134914,0.8490034702960628,0.98,-0.029146345659516508
12368,0.8968081277558924,0.6565110255116229,0.73,-0.4540316308947075
12370,0.6621435932669186,0.3344150562821263,0.51,-0.9714308478032291
12371,0.7171496393814469,0.46558569843618497,0.65,-0.6214883767462702
12374,0.6328883495145632,0.3348572386577596,0.53,-0.9159357352115255
12375,0.5866845690332723,0.4560035950393283,0.78,-0.3584539709124763
12377,0.7059199669966997,0.5095656862842546,0.72,-0.47393118833241243
12378,0.6469674552346099,0.3718753246026864,0.57,-0.8109661756099832
12379,0.4032628225453337,0.27913025384935497,0.69,-0.5353317329965557
12382,0.7318023736563062,0.6505140728846068,0.89,-0.16812275880832692
12385,0.8456652423776941,0.7103909197051159,0.84,-0.2515387669959645
12386,0.7699856218547807,0.5337724026411534,0.69,-0.5353317329965557
12387,0.7673964954764068,0.5706424017989322,0.74,-0.4344028241457749
12388,0.8252176862039613,0.7428532901833873,0.9,-0.15200309344504997
12392,0.5714285714285714,0.4022727272727272,0.7,-0.5145731728297583
12394,0.6583822018698876,0.5489942980342972,0.83,-0.2688167584278
12395,0.7506578947368421,0.5848837209302326,0.78,-0.3584539709124763
12399,0.5869705472406679,0.4437027964890794,0.76,-0.3959286763311392
12402,0.6486415882967607,0.4908338220099969,0.76,-0.3959286763311392
12404,0.7827796541815799,0.6167070217917676,0.79,-0.3400754415976217
12405,0.6251383616204489,0.4716330195399922,0.75,-0.4150374992788438
12407,0.4521655701754386,0.2921348314606741,0.65,-0.6214883767462702
12415,0.8181835799859056,0.6737693988267954,0.82,-0.2863041851566411
12416,0.740169350284577,0.6662185646207588,0.9,-0.15200309344504997
12418,0.7115147951649072,0.4946536412078153,0.7,-0.5145731728297583
12421,0.654520768188781,0.4682266745116618,0.72,-0.47393118833241243
12422,0.4619047619047619,0.2380952380952381,0.52,-0.9434164716336325
