ID,wt_a,dhh_a
818,0.8479841518221091,0.4673931589918219
826,0.6000913378116564,0.2925812172893587
827,0.7815096251266465,0.4977532705161876
828,0.7339473684210527,0.5577777777777778
829,0.7917229937323338,0.5452569169960475
830,0.5192307692307693,0.2928560144212611
831,0.7996891749675714,0.5155115857978849
832,0.7206445585166867,0.4558510638297872
836,0.686844697933617,0.4557866101360817
839,0.6506024096385542,0.41849793718952594
840,0.46906096491386373,0.15687979623966566
841,0.5166666666666667,0.5555390555390556
842,0.6481334664416843,0.4120868521628681
845,0.3954867886597411,0.23518815394362114
847,0.41839292782689014,0.20093690483504334
849,0.7077374940946497,0.3689163603964807
852,0.5107848364610559,0.362078843444426
854,0.7333811327506592,0.615301740567344
855,0.6495726495726495,0.5714669051878354
856,0.4816326530612245,0.3076923076923077
857,0.6157456140350877,0.3377285401945562
858,0.6285220286885246,0.403968253968254
861,0.3299843014128729,0.1851851851851852
862,0.7600663549992459,0.3808312514194867
863,0.6362374175633461,0.4123870822041554
864,0.5380086149768057,0.2690827190827191
866,0.415201956220723,0.16133925087787748
868,0.7047635133161871,0.3767777460464784
871,0.39863013698630134,0.1706864168018441
873,0.9009287925696594,0.5722240847043144
875,0.4759043486093669,0.21368868629216065
876,0.6721311475409836,0.3795485001546232
877,0.7437337543993834,0.47184151637761607
880,0.8355918005321771,0.4393939393939394
882,0.6760467998040403,0.2784575828035003
883,0.6615457375541154,0.3911225803671
887,0.7894298793175197,0.42760603882099213
889,0.3817300953566546,0.2426845814717172
891,0.4436867161186987,0.17426396029505087
897,0.6923154701718908,0.3791592394533571
900,0.6128931003849571,0.27618610345883077
901,0.8099253310791772,0.5943193187135918
902,0.9043942041648465,0.784385551019255
904,0.8119312423346348,0.5941647760075064
906,0.6165865384615384,0.330366189028803
907,0.6967588936487996,0.41944021932663755
910,0.6190130624092889,0.4510962156123447
914,0.3145028120138806,0.16365252353276216
917,0.3703703703703704,
918,0.742513294705929,0.48423394751535453
921,0.565783659351973,0.2628195557944293
922,0.5139621284755513,0.22765018025681533
923,0.7125227604072157,0.47252442851878673
925,0.7882491473120026,0.455575720911474
926,0.7699036511156186,0.48486448600343823
927,0.6805579766989163,0.4590822839399689
929,0.36184175847345945,0.2816305469556244
931,0.7754819118035384,0.5424325970028078
940,0.8278673163418291,0.6264550997782705
941,0.5898567446878653,0.30290757061073237
942,0.6516423475504468,0.4763079573934837
943,0.3392503404729479,
946,0.3023431594860166,0.072192330469596
949,0.5466973635956155,0.2850140056022409
950,0.5186058700209644,
951,0.8468705793295956,0.5868933257326774
954,0.6606501464496645,0.4494200191311567
956,0.897855303982306,0.5709451057704682
969,0.8338406683079886,0.5635086837575847
971,0.5005398606380373,0.36743506493506495
973,0.8658663698678539,0.6433952388694913
976,0.8371331956138217,0.5408291179235672
978,0.7882873210633947,0.49510228601580103
979,0.6549245296543191,0.3919379950262272
980,0.6591108542562982,0.2681290322580645
981,0.4810126582278481,
987,0.5400012719092787,0.28776140843188347
990,0.6617647058823529,
991,0.8245049400934873,0.6560681520314549
992,0.6814651589241072,0.23788534812605677
993,0.7366829151852456,0.4627223914949512
1003,0.6260691514177595,0.46452762923351165
1005,0.7426900584795322,0.5683576480990274
1007,0.8267564308681672,0.6354298287497744
1017,0.7985664235664236,0.6217719062546649
1019,0.588929219600726,0.2627728876652836
1021,0.5695595371407242,0.2564081475998574
1023,0.5582897615060769,0.25477045893305705
1026,0.7286557377049181,0.30973191168009206
1028,0.783544371570071,0.37331840364733837
1030,0.6880500531320672,0.5440032043945984
1033,0.4770094968073979,0.2687737815894127
1035,0.823446742459202,0.6134524822695036
1036,0.6137997367621748,0.23499585283024774
1039,0.5252035088713529,0.3578079103811608
1041,0.7097463220294238,0.4215540876647039
1045,0.6089806851825743,0.34287228404875464
1048,0.6442939244663382,0.4300699300699301
1054,0.8729780206817914,0.6707839536761312
1060,0.7729045847795561,0.6200738759472999
1063,0.7420303966809195,0.5257352941176471
1064,0.7299986493179056,0.4259548441668294
1074,0.5661882650907556,0.4521624252537894
