ID,wt_a,dhh_a,m/w,log
2580,0.7460745599357472,0.4977933541017653,0.67,-0.5777669993169522
2581,0.5490762860328078,0.31032251105598097,0.57,-0.8109661756099832
2582,0.857195993068177,0.4904086439493313,0.57,-0.8109661756099832
2584,0.6218405428329092,0.3717605923488276,0.6,-0.7369655941662062
2586,0.5075340346534654,0.4112549712209192,0.81,-0.3040061868900999
2587,0.7782005127365952,0.36745689655172414,0.47,-1.0892673380970874
2590,0.6478307998934068,0.3168900050156699,0.49,-1.0291463456595165
2592,0.4168806161745828,0.290956458288203,0.7,-0.5145731728297583
2594,0.6635547163300712,0.388562091503268,0.59,-0.7612131404128835
2596,0.7680748860697131,0.5351019877029182,0.7,-0.5145731728297583
2598,0.8155208444968385,0.6200751128803117,0.76,-0.3959286763311392
2599,0.8181212944254911,0.5065445643233071,0.62,-0.6896598793878495
2602,0.8253910281857879,0.4680544585535776,0.57,-0.8109661756099832
2604,0.5057797805642633,0.19887669801462904,0.39,-1.3584539709124763
2605,0.5581452113967869,0.2853174603174603,0.51,-0.9714308478032291
2607,0.8163832873244045,0.7570670306339096,0.93,-0.10469737866669322
2609,0.456706735698276,0.18524090877113256,0.41,-1.286304185156641
2611,0.5485290419914508,0.3222910216718266,0.59,-0.7612131404128835
2612,0.4992925170068028,0.2387226794744303,0.48,-1.0588936890535685
2613,0.8848929992472309,0.6104294478527608,0.69,-0.5353317329965557
2615,0.7379367400886072,0.36675753680254375,0.5,-1.0
2618,0.7237147595356551,0.4538753466647205,0.63,-0.6665762662748083
2624,0.38774980150789295,0.22115815920991072,0.57,-0.8109661756099832
2628,0.5658820635667536,0.3739675083186533,0.66,-0.5994620704162712
2630,0.5624929424538545,0.4195877695877696,0.75,-0.4150374992788438
2631,0.7533282130056325,0.5636265805757329,0.75,-0.4150374992788438
2632,0.5539450253605761,0.2752144441376362,0.5,-1.0
2633,0.5593525179856116,0.2794117647058824,0.5,-1.0
2634,0.7516472868217055,0.5796516607089663,0.77,-0.3770696490798233
2635,0.5864683581219015,0.3422619047619048,0.58,-0.7858751946471527
2636,0.8887719182396326,0.7737111789221063,0.87,-0.20091269392599642
2639,0.6623699238925105,0.35400049766428743,0.53,-0.9159357352115255
2640,0.8006721002980117,0.5165945085088799,0.65,-0.6214883767462702
2643,0.8478895823410979,0.6887527176088762,0.81,-0.3040061868900999
2650,0.6103918244875692,0.5879493903396937,0.96,-0.058893689053568565
2651,0.8666511962775865,0.6836414040961765,0.79,-0.3400754415976217
2652,0.6469891571405453,0.3622323313561878,0.56,-0.8365012677171204
