ID,wt1,Assigned_gene_name,wt2,dhh1_1,dhh1_2
3535,0.6553398058252428,YJL102W,0.7382198952879581,0.4223433242506812,0.2762762762762763
3537,0.7395833333333334,YJL100W,0.6413793103448275,0.4579439252336449,0.456140350877193
3538,0.7627118644067796,YJL099W,0.7833333333333333,0.5886075949367089,0.4945652173913043
3540,0.726027397260274,YJL098W,0.6909547738693468,0.4109263657957245,0.29593810444874274
3541,0.846411804158283,YJL097W,0.8441369264384558,0.6469344608879493,0.5463320463320464
3542,0.8028079132099554,YJL096W,0.7840909090909091,0.7269155206286837,0.6729832160259881
3546,0.3076923076923077,YJL092W,0.2925,0.16981132075471694,0.08484848484848485
3552,0.8189300411522634,YJL085W,0.7908163265306123,0.7252252252252253,0.575
3554,0.5825242718446602,YJL083W,0.6808510638297872,0.6265822784810127,0.4807692307692308
3557,0.7102272727272727,YJL082W,0.6985815602836879,0.41140215716486905,0.375886524822695
3566,0.5049019607843137,YJL076W,0.4612476370510397,0.3675213675213676,0.2887139107611549
3567,0.6181818181818182,YJL073W,0.6423076923076924,0.6274509803921569,0.5277044854881267
3569,0.6666666666666666,YJL071W,0.7049180327868853,0.547945205479452,0.47200000000000003
3573,0.6041666666666666,YJL062W-A,0.6175078864353313,0.4677492106450158,0.3355576739752145
3574,0.5733333333333334,YJL062W,0.5542168674698795,0.3645833333333333,0.4065934065934066
3576,0.824967824967825,YJL061W,0.8371710526315791,0.5594512195121951,0.3945371775417299
3577,0.6327116212338594,YJL060W,0.6336805555555556,0.4169675090252707,0.2463768115942029
3580,0.7443181818181818,YJL059W,0.7435897435897436,0.6197183098591549,0.53125
3587,0.8433268858800773,YJL055W,0.8587943848059455,0.7969072164948454,0.7508633448445979
3590,0.9212962962962964,YJL054W,0.912280701754386,0.8741418764302059,0.7625698324022346
3591,0.5819397993311036,YJL053W,0.5864978902953587,0.3921568627450979,0.3091334894613583
3595,0.4054669703872437,YJL052W,0.4198588709677419,0.17978079502699165,0.11591901548233426
3597,0.4772727272727273,YJL051W,0.4736842105263158,0.24509803921568624,0.1891891891891892
3600,0.7074235807860262,YJL050W,0.7190775681341719,0.5338753387533876,0.3767123287671233
3601,0.8397790055248618,YJL049W,0.7913669064748201,0.5045871559633027,0.32122905027932963
3603,0.81859410430839,YJL046W,0.8211920529801324,0.5977337110481586,0.4597457627118644
3607,0.6928104575163399,YJL042W,0.6875,0.5281306715063521,0.4788732394366197
3610,0.7315315315315315,YJL041W,0.7244897959183674,0.4452644526445265,0.315468940316687
3614,0.7697160883280757,YJL036W,0.7236842105263158,0.5527638190954773,0.49185667752443
3617,0.8353413654618473,YJL034W,0.8412872154115587,0.6799312652618251,0.4966656407099621
3620,0.5655577299412916,YJL033W,0.5344632768361582,0.2807017543859649,0.20685714285714285
3622,0.7384937238493724,YJL030W,0.7555555555555555,0.5117994100294986,0.4067584480600751
3625,0.4799150592815431,YJL026W,0.49,0.24852599606932285,0.16456068175139582
3628,0.6919831223628692,YJL025W,0.7318435754189944,0.5,0.4591194968553459
3632,0.8701754385964913,YJL019W,0.8857142857142857,0.7592592592592593,0.6850828729281768
3634,0.53276955602537,YJL016W,0.5674300254452926,0.5527272727272727,0.4562043795620438
3637,0.8165137614678899,YJL014W,0.8123980424143556,0.6463844797178131,0.4763513513513514
3642,0.3643410852713178,YJL005W,0.3416458852867831,0.1827027027027027,0.14764565043894656
3647,0.6779661016949152,YJL003W,0.7272727272727273,0.5066666666666667,0.43842364532019706
3649,0.5,YJL001W,0.5135135135135135,,
3650,0.6086646036657939,YJL001W,0.6151241534988713,0.3704113924050633,0.2957307572452477
3651,0.5081857667891747,YJR001W,0.4885433715220949,0.31045340050377834,0.204269196560925
3653,0.9016110471806674,YJR002W,0.8935439560439561,0.6578091106290672,0.4687174139728884
3656,0.8443708609271523,YJR005W,0.7974683544303798,0.7245989304812834,0.6016096579476862
3657,0.8031496062992126,YJR006W,0.7883096366508688,0.7043222003929273,0.6324535679374389
3658,0.6603105420866249,YJR007W,0.6394580304031725,0.4820256330103157,0.35897435897435903
3659,0.813953488372093,YJR008W,0.7659574468085106,0.5520361990950227,0.3948497854077253
3661,0.722,YJR010W,0.7372448979591837,0.3508771929824561,0.3136531365313653
3666,0.9053356282271944,YJR013W,0.8725701943844493,0.7354497354497355,0.5926966292134831
3668,0.8280519480519479,YJR014W,0.8516918646508279,0.6904630650496141,0.6220064724919094
3669,0.9332888592394928,YJR015W,0.9221949221949222,0.8012170385395537,0.6993534482758621
3671,0.7633587786259542,YJR018W,0.6326530612244898,0.5,
3674,0.8630490956072352,YJR022W,0.8207885304659498,0.6025848142164781,0.5616438356164384
3675,0.6120689655172413,YJR026W,0.5507246376811594,,
3682,0.7135922330097088,YJR032W,0.6827794561933535,0.5477941176470589,0.4280442804428044
3685,0.7432150313152401,YJR034W,0.7366362451108214,0.5441092771770063,0.4477161192902983
3688,0.4606741573033708,YJR039W,0.5471698113207547,0.25,0.2037037037037037
3690,0.6352941176470588,YJR040W,0.6496674057649667,0.4516129032258064,0.3238434163701068
3691,0.8713858424725822,YJR042W,0.8817934782608695,0.7129881925522252,0.6034669555796316
3696,0.8809130003307972,YJR048W,0.8566227947353683,0.7574910107870555,0.6790890269151139
3698,0.8691588785046729,YJR050W,0.8536585365853658,0.6521739130434783,0.5454545454545454
3699,0.603225806451613,YJR051W,0.5699115044247788,0.2678260869565217,0.17272727272727273
3700,0.4018691588785047,YJR052W,0.3578947368421053,0.2826086956521739,
3701,0.6734693877551021,YJR053W,0.7378640776699029,0.5478260869565217,0.4594594594594595
3702,0.5776173285198556,YJR054W,0.6144578313253012,0.2565947242206235,0.18240343347639484
3703,0.8151658767772512,YJR055W,0.8343195266272192,0.4078947368421053,0.5614035087719298
3705,0.7245841035120147,YJR057W,0.7207392197125256,0.6351791530944625,0.5513245033112583
3707,0.7321428571428571,YJR059W,0.7640750670241286,0.6771653543307087,0.6884353741496598
3708,0.764,YJR060W,0.7823529411764706,0.5311203319502075,0.310580204778157
3712,0.3801470588235294,YJR063W,0.3898305084745763,0.2706586826347305,0.2427701674277017
3713,0.8592257415786827,YJR064W,0.8744479495268139,0.7065989847715736,0.6318565400843882
3714,0.5125,YJR066W,0.4350282485875706,0.4246575342465753,0.3443708609271523
3716,0.6055312954876274,YJR068W,0.6405353728489483,0.3796477495107632,0.2694736842105263
3723,0.7881170816950633,YJR075W,0.8088151116199198,0.6087844739530133,0.4886222589987588
3730,0.7252747252747253,YJR084W,0.6698564593301436,0.4947089947089947,0.4048913043478261
3731,0.7410714285714286,YJR086W,0.7082066869300911,0.625725338491296,0.5612153708668454
3732,0.8062015503875969,YJR089W,,0.5811965811965812,0.4494382022471911
3733,0.5757575757575758,YJR092W,0.5670103092783505,0.2441860465116279,0.1780821917808219
3739,0.9383909246958728,YJR094W-A,0.9215230278157774,0.8654401154401155,0.8042208875542209
