ID,cap,uncap,wt1,Assigned_gene_name
507,227,40,0.8501872659176031,YBR257W
508,43,36,0.5443037974683544,YBR259W
509,1337,513,0.7227027027027026,YBR263W
510,412,179,0.6971235194585449,YBR265W
511,188,137,0.5784615384615385,YBR267W
513,825,843,0.4946043165467626,YBR268W
516,42,8,0.84,YBR271W
517,103,117,0.4681818181818182,YBR271W
518,219,29,0.8830645161290323,YBR274W
519,128,68,0.6530612244897959,YBR278W
522,332,112,0.7477477477477478,YBR279W
525,3,1,0.75,YBR282W
526,230,307,0.42830540037243947,YBR282W
528,25,10,0.7142857142857143,YBR284W
531,6,0,1.0,YBR285W
532,668,499,0.572407883461868,YBR286W
535,3704,923,0.8005186946185433,YBR287W
540,40,17,0.7017543859649122,YBR289W
542,568,220,0.7208121827411168,YBR290W
546,68,24,0.7391304347826086,YBR293W
547,1,0,1.0,YBR293W
548,2,0,1.0,YBR293W
552,23,7,0.7666666666666667,YBR295W
553,106,48,0.6883116883116883,YBR295W
556,9,0,1.0,YBR297W
557,179,56,0.7617021276595745,YBR297W
560,10,1,0.9090909090909092,YBR299W
565,231,173,0.5717821782178217,YCL063W
566,750,63,0.922509225092251,YCL058W-A
567,6,5,0.5454545454545454,YCL057W
568,1,2,0.3333333333333333,YCL057W
569,686,498,0.5793918918918919,YCL057W
570,136,82,0.6238532110091743,YCL055W
575,24,3,0.8888888888888888,YCL054W-A
576,22,17,0.5641025641025641,YCL054W-A
577,1209,697,0.6343126967471143,YCL054W-A
578,705,87,0.8901515151515151,YCL054W
579,212,118,0.6424242424242425,YCL051W
583,7,4,0.6363636363636364,YCL048W-A
584,11,1,0.9166666666666666,YCL048W-A
585,6,1,0.8571428571428571,YCL048W-A
593,61,25,0.7093023255813954,YCL042W
594,847,404,0.6770583533173461,YCL040W
598,320,26,0.9248554913294798,YCL039W
602,159,177,0.4732142857142857,YCL036W
603,2,1,0.6666666666666666,YCL034W
604,7,1,0.875,YCL034W
605,293,146,0.6674259681093394,YCL034W
606,312,82,0.7918781725888325,YCL032W
610,761,206,0.7869700103412617,YCL028W
