ID,s1,s2
951,0.691285244,0.682537624
953,0.691260853,0.682537903
954,0.691246985,0.682472836
955,0.69146711,0.682467262
956,0.691466835,0.685734066
967,0.69138804,0.685726833
968,0.691386296,0.685723364
969,0.694034941,0.691723462
971,0.694030684,0.691683796
972,0.694027825,0.691690373
973,0.698908025,0.691838851
975,0.698860283,0.691837719
976,0.698865724,0.692419565
978,0.699021663,0.692513257
979,0.699016513,0.692494742
980,0.699686149,0.692487567
981,0.699764972,0.692477965
984,0.699752135,0.692483819
987,0.699742313,0.692224125
990,0.699730617,0.692230809
991,0.699747967,0.692283252
992,0.699464553,0.692137436
993,0.699462821,0.692206809
1003,0.699533113,0.692208503
1005,0.699465755,0.692224866
1007,0.699523601,0.692306133
1010,0.699503121,0.692308815
1011,0.699508061,0.692306632
1014,0.699593215,0.692050433
1015,0.699595092,0.692052309
1017,0.699590951,0.692062502
1019,0.699339394,0.691903901
1021,0.699341609,0.691888158
1022,0.699356862,0.691892771
1023,0.699138444,0.691842421
1026,0.699110329,0.691882555
1028,0.699112943,0.691970757
1030,0.699058019,0.691974512
1032,0.6990752,0.691974761
1033,0.699163328,0.690459312
1034,0.699155184,0.690454602
1035,0.699155119,0.690473807
1036,0.697547265,0.690474474
1039,0.697544993,0.689994858
1041,0.697566917,0.690013638
1042,0.69754856,0.690007964
1043,0.69754876,0.690006559
1044,0.696928657,0.689996425
1045,0.696927085,0.689990944
1047,0.696921804,0.690003742
1048,0.696921027,0.690004571
1050,0.696912996,0.690005999
1051,0.696900129,0.690006135
1054,0.69691189,0.690096876
1055,0.696905557,0.690097123
1056,0.696906036,0.690095373
1058,0.696906773,0.690093926
1059,0.697000623,0.69009442
1060,0.697001161,0.691163534
1062,0.697001737,0.691118359
1063,0.69700522,0.691135172
1064,0.697006813,0.69114232
1065,0.697776189,0.691142991
1073,0.697751696,0.691143964
1074,0.697755357,0.691136732
1075,0.697755665,0.69125221
1076,0.69775633,0.691250536
1077,0.697755619,0.690742163
1080,0.697743116,0.690819566
1083,0.697831358,0.690825217
1084,0.697831009,0.685723754
1089,0.698214949,0.685597199
1090,0.698293907,0.685596018
1091,0.698303328,0.685515662
1093,0.691423329,0.685510046
1094,0.691256617,0.685254865
1096,0.691256221,0.685177808
1104,0.691173365,0.685171546
1105,0.691175411,0.685187203
1106,0.690770566,0.685186799
1107,0.690675131,0.685334785
1108,0.690674728,0.685398149
1110,0.690695578,0.6853961
1115,0.690694546,0.685394987
1116,0.690824921,0.685520279
1120,0.690901985,0.685518649
1121,0.690901515,0.685514968
1122,0.690900852,0.685511812
1123,0.691016204,0.68545028
1125,0.691014905,0.685680354
1126,0.69101496,0.685675892
1127,0.690997594,0.685462593
1128,0.69092159,0.703751775
1133,0.691141012,0.70374788
1138,0.691135642,0.7037477
1139,0.690969259,0.703753593
1144,0.705954082,0.703756347
1145,0.705955265,0.703744455
1147,0.705954414,0.703745691
1148,0.705957638,0.703643127
1150,0.705962228,0.703643885
1151,0.705950563,0.703644708
1152,0.70595046,0.703647954
1154,0.705831641,0.70364919
1155,0.705835219,0.705332126
1162,0.705835491,0.705332372
1163,0.705831382,0.705332015
1164,0.705831145,0.705331845
1165,0.707145341,0.705324115
1166,0.707145103,0.70536478
1172,0.707146641,0.705364823
1173,0.707146817,0.70536389
1175,0.707149311,0.705188626
1177,0.707142203,0.705273344
1179,0.707194482,0.705265363
1180,0.707194776,0.705265572
1181,0.707203286,0.705259457
1182,0.707066466,0.705262984
1185,0.70716339,0.704710219
1190,0.70715528,0.704815544
1191,0.707156411,0.704817747
1192,0.707159839,0.704842147
1194,0.70716068,0.704838389
1197,0.706649418,0.704828598
1198,0.706751345,0.70484416
1199,0.706754149,0.704698257
1201,0.706773283,0.704697244
1202,0.706772862,0.704747128
1203,0.706761105,0.704772457
1204,0.706774643,0.704736106
1205,0.70667954,0.704723505
1206,0.706676346,0.704713493
1207,0.70672167,0.704710994
1208,0.706741974,0.704711195
1209,0.706716682,0.704702449
1210,0.706710355,0.704705844
1214,0.706709103,0.704705345
1215,0.706706755,0.704590797
1216,0.70670752,0.704573914
1225,0.706694131,0.704592102
1226,0.706695431,0.704559587
1228,0.706694083,0.704548612
1229,0.706574751,0.704653623
1233,0.706559814,0.704653066
1234,0.706582512,0.704624415
1237,0.706553206,0.704632899
1238,0.706543915,0.704635752
1239,0.706664891,0.704635118
1240,0.70666499,0.704633366
1241,0.706620375,0.704632887
1242,0.706620541,0.70464605
1243,0.706629605,0.704647177
1244,0.706635521,0.704922329
1245,0.706636019,0.706333618
1248,0.70663368,0.706336222
1249,0.706632246,0.706347357
1250,0.706636822,0.706386093
1253,0.706635419,0.70638629
1254,0.706901169,0.706370367
1256,0.708273992,0.706369336
1257,0.708267806,0.70632084
1259,0.708276318,0.706330761
1261,0.70829386,0.706339958
1265,0.708293954,0.70632555
1268,0.708280623,0.706167866
1269,0.70828088,0.70616186
1270,0.708208013,0.70652571
1273,0.708221259,0.706521659
1274,0.708237436,0.706535481
1276,0.708218709,0.706269195
1277,0.70802978,0.706280892
1278,0.708023569,0.706297807
1279,0.708398955,0.706230637
1280,0.708395065,0.706254895
1282,0.708411893,0.706254853
1283,0.708071382,0.706253985
1284,0.708087472,0.706185502
1286,0.708100432,0.706167778
1287,0.708039928,0.706169891
1289,0.708063205,0.70617537
1290,0.70806279,0.706174899
1293,0.708060131,0.706166114
1294,0.708030887,0.706176161
1295,0.708010243,0.706149093
1296,0.708011686,0.706105181
1297,0.708016096,0.706101365
1298,0.708016027,0.70609544
1299,0.708012386,0.706142698
1300,0.708041844,0.706141087
1301,0.708003183,0.706409187
1303,0.707930526,0.706450451
1307,0.707912386,0.706513949
1308,0.707909369,0.706517354
1310,0.707963964,0.706798425
1312,0.707960756,0.706799008
1313,0.708285706,0.706802335
1314,0.708332919,0.706803695
1318,0.708408278,0.706794143
1319,0.708409128,0.706807964
1320,0.708742414,0.706809507
1321,0.708742895,0.706806962
1322,0.708742633,0.709564727
1323,0.708742264,0.709826089
1324,0.708726407,0.709831827
1326,0.708754651,0.709840139
1328,0.708757743,0.70975817
1329,0.708756726,0.709732414
1333,0.710977089,0.709737229
1334,0.711318988,0.70973781
1335,0.711328881,0.709765886
1340,0.71133543,0.709732701
1342,0.711235437,0.709662695
1345,0.711213623,0.709654524
1347,0.711216918,0.709653094
1348,0.711218517,0.709608699
1349,0.711250361,0.709526626
1350,0.711213033,0.709523085
1351,0.711140844,0.709463484
1352,0.711134135,0.709460878
1355,0.711133895,0.709512099
1357,0.711096707,0.709515879
1358,0.710982631,0.709514969
1359,0.710981822,0.709503478
1370,0.710943964,0.709454698
1371,0.7109405,0.709457064
1372,0.710997237,0.709466547
1374,0.711007729,0.709467045
1375,0.711006585,0.709435019
1377,0.711002832,0.709420595
1378,0.710979327,0.70937673
1379,0.710981368,0.709374275
1380,0.710987446,0.70939006
1381,0.710988304,0.709394566
1385,0.71095546,0.709385501
1386,0.71095573,0.709382144
1387,0.710911067,0.709279296
1390,0.710903048,0.70927876
1393,0.710918686,0.709277011
1394,0.710924578,0.709301239
1395,0.710918421,0.709325371
1396,0.710912013,0.7093396
1400,0.710794957,0.709401627
1401,0.710795421,0.709605488
1403,0.710796008,0.709643162
1404,0.71082009,0.70964883
1405,0.710844642,0.709679807
1412,0.710860003,0.709718555
1415,0.710925215,0.709725918
1416,0.711116269,0.709737594
1418,0.71114243,0.709761401
1420,0.711152454,0.709725357
1421,0.711187908,0.70973611
1422,0.711225811,0.709742335
1424,0.711233594,0.709739227
1425,0.711245098,0.709754611
1426,0.711263997,0.709684216
1429,0.711232216,0.709681998
1430,0.711242648,0.709696431
1431,0.711253749,0.709701849
1432,0.711252723,0.709691622
1433,0.711248396,0.709693694
1435,0.711163447,0.709672228
1436,0.711159476,0.709717067
1437,0.7111721,0.709715056
1438,0.711178888,0.709694647
